,month,ttf,brent,coal_price,exchange_rate,des_heating,heating,des_storage,storage,WTI_oil
54,2018-08,23.89613043478261,73.92260869565217,97.23913043478262,1.1551749032476677,137.18495248446095,29.591875000000005,692.0204533876237,767.19,67.11565217391306
55,2018-09,27.8815,79.15999999999998,100.5894736842105,1.166071194410324,124.236081862895,41.76708333333333,692.4642153519094,897.72,69.8025
56,2018-10,26.13669565217391,80.52913043478262,100.01521739130436,1.149549510167993,113.97119726976824,96.528125,720.6149139828617,995.98,70.75130434782609
57,2018-11,24.836409090909093,66.6045,87.8642857142857,1.1365526806224475,116.52820710455148,171.67770833333333,757.0083242658427,1043.81,56.75636363636364
58,2018-12,23.90595,57.60777777777778,88.23947368421051,1.1375411294755482,119.40492283384536,236.5495833333333,768.2000544550284,983.32,49.311000000000014
59,2019-01,21.695227272727276,60.12190476190477,81.9125,1.1425329757773357,137.3521659948126,276.87750000000005,758.0780820686041,830.50494,51.995
60,2019-02,18.05585,64.2763157894737,74.2,1.1353972136974335,93.8770410532031,195.77374999999992,756.4301881796545,637.41725,55.46600000000001
61,2019-03,15.626380952380952,67.07238095238095,69.33571428571429,1.1309846015203566,104.03853978884251,174.82333333333335,780.9925281448716,520.24415,58.4904761904762
62,2019-04,14.938809523809525,71.59714285714286,61.430952380952384,1.1234920783476396,120.02908573016973,119.64708333333334,846.6510650892553,508.84040999999996,63.92380952380952
63,2019-05,13.25560869565217,70.33954545454546,59.17272727272728,1.1189111037687822,148.4711704033091,84.25354166666669,832.4275025649741,589.08301,60.928260869565214
64,2019-06,10.877800000000002,63.196500000000015,51.38,1.1290019631385804,125.46072758802252,24.055,849.5351853122269,710.3052499999999,54.880500000000005
65,2019-07,11.044043478260871,64.3457142857143,58.82272727272728,1.122681648834892,138.8975745527861,27.90708333333333,887.0804271971475,857.08793,57.61347826086956
66,2019-08,11.275545454545451,59.715,56.4840909090909,1.1131632165475325,131.93036915112762,24.337291666666665,891.7763633876237,966.94591,54.70590909090909
67,2019-09,13.261571428571424,62.468500000000006,60.8175,1.1010732991354806,127.89524852956168,45.42625,865.5504753519093,1070.80626,56.714761904761886
68,2019-10,15.714217391304349,59.71304347826087,60.18260869565218,1.1081920932320988,115.85557226976822,98.4125,860.8980739828617,1136.26316,54.05260869565217
69,2019-11,15.93509523809524,62.58526315789473,57.99749999999999,1.105470680055164,109.53716543788482,164.68666666666667,867.7910742658427,1154.59275,57.12333333333333
70,2019-12,14.203761904761905,65.26550000000002,54.95,1.1109551245515996,94.59992283384533,211.74458333333328,900.2026744550283,1115.32262,59.65142857142856
71,2020-01,11.166954545454546,63.6,51.62619047619047,1.1111802743828816,90.43299932814584,229.9583333333333,976.2860820686041,1048.71294,57.54772727272727
72,2020-02,9.0919,55.55947368421052,48.75789473684211,1.0910906732082366,83.63079105320318,185.5275,968.2039981796545,849.1910599999999,50.84749999999998
73,2020-03,8.384636363636364,33.664545454545454,49.51818181818182,1.1073086207563227,114.44749812217584,185.23229166666667,994.1727881448716,733.42441,31.775454545454544
74,2020-04,6.671333333333334,26.53714285714285,44.65476190476191,1.087575007568706,123.29804406350304,122.91604166666666,1000.9247350892553,663.11408,24.694285714285712
75,2020-05,4.956380952380952,32.1985,42.13250000000001,1.0899938628787087,144.39804540330906,80.18041666666667,996.2762325649742,752.93174,29.587619047619043
76,2020-06,5.322318181818181,40.63636363636363,46.83636363636363,1.125652340325442,121.1148942546892,19.709166666666672,1011.5959753122268,872.3660399999999,38.54363636363635
77,2020-07,5.395652173913043,43.20045454545455,50.29772727272727,1.1454755067825315,138.1644495527861,27.17395833333333,980.2930171971474,950.30052,40.92739130434783
78,2020-08,8.321619047619047,44.96904761904762,50.07857142857144,1.1827620154335383,133.6609941511276,26.06791666666665,932.7723133876236,1007.94186,42.68190476190476
79,2020-09,11.495636363636365,41.68149999999999,53.99047619047618,1.179660358212211,121.29524852956168,38.82625,874.2925153519095,1079.5483000000002,39.92681818181818
80,2020-10,14.181090909090909,41.52545454545455,56.55681818181818,1.176976897499778,119.28203060310156,101.83895833333334,847.4523539828618,1122.81744,39.870909090909095
81,2020-11,13.946333333333335,43.47842105263158,54.3475,1.1829515525272911,108.87924877121816,164.02875,811.2648242658427,1098.0665,41.79761904761904
82,2020-12,16.42222727272727,50.09500000000001,66.86136363636363,1.2162494555763577,103.74367283384532,220.8883333333333,806.2464344550285,1021.36638,47.23863636363637
